Leeftijd,Marges,Perioden,Wijken.en.buurten,Regioaanduiding.Gemeentenaam..naam.,Regioaanduiding.Soort.regio..omschrijving.,Regioaanduiding.Codering..code.,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
18 jaar of ouder,Waarde,2016,Wijk 05 Bergstoep,Krimpenerwaard                          ,Wijk      ,WK193105            ,    82.4,    48.9,    12.8,    16.8,    42.0,    85.8,     9.2,     6.6,    29.1,       .,       .,     3.7,     6.4
18 jaar of ouder,Waarde,2016,Bergstoep,Krimpenerwaard                          ,Buurt     ,BU19310500          ,    82.3,    49.5,    13.0,    17.8,    41.8,    85.7,     9.4,     6.5,    28.9,       .,       .,     4.0,     6.9
18 jaar of ouder,Waarde,2016,Lekdijk-West en Provinciale weg (ged.),Krimpenerwaard                          ,Buurt     ,BU19310501          ,    85.8,    46.1,    11.7,    14.8,    42.0,    87.3,     8.9,     6.8,    25.8,       .,       .,     2.6,     4.7
18 jaar of ouder,Waarde,2016,Lekdijk-Oost en Provinciale weg (ged.),Krimpenerwaard                          ,Buurt     ,BU19310502          ,    85.0,    52.9,    10.5,    13.2,    41.1,    87.0,     8.7,     6.0,    28.8,       .,       .,     2.6,     5.9
18 jaar of ouder,Waarde,2016,Bovenstad,Krimpenerwaard                          ,Buurt     ,BU19310503          ,    79.5,    46.7,    13.0,    13.5,    43.2,    84.8,     8.3,     7.1,    33.8,       .,       .,     3.5,     5.9
18 jaar of ouder,Waarde,2016,Provinciale weg (ged.) De Hem en Hogedij,Krimpenerwaard                          ,Buurt     ,BU19310504          ,    82.5,    47.6,    13.8,    14.7,    43.3,    86.2,    10.5,     6.0,    27.9,       .,       .,     2.6,     4.4
18 jaar of ouder,Waarde,2016,Wijk 06 Ammerstol,Krimpenerwaard                          ,Wijk      ,WK193106            ,    79.0,    47.4,    15.1,    19.4,    42.6,    83.9,    10.0,     6.8,    32.2,       .,       .,     5.3,     8.1
18 jaar of ouder,Waarde,2016,Ammerstol,Krimpenerwaard                          ,Buurt     ,BU19310600          ,    79.0,    47.4,    15.1,    19.4,    42.6,    83.9,    10.0,     6.8,    32.2,       .,       .,     5.3,     8.1
18 jaar of ouder,Waarde,2016,Wijk 07 Berkenwoude,Krimpenerwaard                          ,Wijk      ,WK193107            ,    83.2,    45.8,    13.6,    15.7,    44.0,    83.7,     8.1,     7.2,    29.3,       .,       .,     3.7,     5.6
18 jaar of ouder,Waarde,2016,Berkenwoude,Krimpenerwaard                          ,Buurt     ,BU19310700          ,    82.6,    46.3,    13.8,    15.7,    43.0,    84.0,     8.3,     7.7,    30.1,       .,       .,     3.7,     5.7
